1.2133406e7,-2.5628438e7,2.372544e7,-1.8260064e7,1.4589224e7,-1.2086329e7,1.0293276e7,-8.9518e6,7.912446e6,-7.084206e6,6.40892e6,-5.8478315e6,5.374174e6,-4.9689035e6,4.6181095e6,-4.3113945e6,4.0408448e6,-3.800332e6,3.5850245e6,-3.3910775e6,3.2153908e6,-3.05543e6,2.9091118e6,-2.7747038e6,2.6507518e6,-2.5360278e6,2.429491e6,-2.3302498e6,2.237537e6,-2.150689e6,2.0691306e6,-1.9923585e6,1.9199265e6,-1.851444e6,1.7865678e6,-1.7249905e6,1.6664416e6,-1.610678e6,1.5574782e6,-1.5066448e6,1.4579984e6,-1.4113814e6,1.366652e6,-1.3236735e6,1.2823232e6,-1.2424971e6,1.204091e6,-1.1670108e6,1.131177e6,-1.0965099e6,1.062934e6,-1.0303878e6,998809.6,-968135.6,938318.0,-909309.5,881058.7,-853528.1,826676.94,-800466.4,774861.6,-749829.75,725343.6,-701369.9,677882.4,-654856.9,632268.6,-610094.44,588309.0,-566897.2,545838.6,-525109.94,504698.94,-484588.8,464760.25,-445199.5,425890.62,-406821.44,387978.03,-369347.2,350916.9,-332675.7,314610.88,-296708.6,278961.66,-261360.66,243892.39,-226548.08,209318.94,-192196.0,175168.19,-158227.44,141365.81,-124571.26,107839.15,-91159.64,74524.84,-57926.918,41355.824,-24804.441,8266.244
3.4839782e6,-5.408474e6,1.981396e6,87334.22,-315379.47,336283.1,-317507.25,291506.84,-266185.16,243445.34,-223511.12,206133.19,-190959.4,177650.64,-165912.14,155497.19,-146202.56,137861.44,-130336.26,123513.64,-117299.62,111615.52,-106395.484,101583.82,-97133.15,93002.984,-89158.68,85570.26,-82211.766,79060.57,-76096.96,73303.58,-70664.95,68167.49,-65799.2,63549.312,-61408.3,59367.598,-57419.363,55556.586,-53772.89,52062.676,-50420.867,48842.582,-47323.426,45859.66,-44447.547,43083.7,-41765.258,40489.336,-39253.223,38054.684,-36891.492,35761.332,-34662.473,33593.2,-32551.645,31536.451,-30546.129,29579.27,-28634.602,27710.932,-26807.27,25922.393,-25055.354,24205.264,-23371.22,22552.375,-21747.803,20956.95,-20179.07,19413.312,-18659.225,17916.193,-17183.512,16460.672,-15747.095,15042.329,-14345.866,13657.223,-12975.955,12301.642,-11633.819,10971.976,-10315.848,9665.092,-9019.22,8377.909,-7740.839,7107.6772,-6478.017,5851.5625,-5228.02,4606.9473,-3988.173,3371.336,-2756.145,2142.3115,-1529.4658,917.346,-305.71185
-235902.05,1.4897015e6,-2.144432e6,1.0131955e6,-138967.73,5728.962,29750.45,-40608.305,43330.4,-42991.855,41457.11,-39488.188,37415.805,-35386.246,33462.01,-31666.06,30002.574,-28466.904,27050.463,-25743.346,24535.56,-23417.545,22380.518,-21416.514,20518.37,-19679.691,18894.818,-18158.707,17466.875,-16815.338,16200.564,-15619.394,15068.964,-14546.736,14050.449,-13578.046,13127.7,-12697.753,12286.674,-11893.085,11515.7295,-11153.497,10805.38,-10470.397,10147.665,-9836.434,9535.943,-9245.507,8964.544,-8692.467,8428.716,-8172.837,7924.371,-7682.839,7447.8853,-7219.1562,6996.2627,-6778.9243,6566.832,-6359.692,6157.239,-5959.223,5765.44,-5575.632,5389.6006,-5207.16,5028.121,-4852.3047,4679.516,-4509.6396,4342.5186,-4177.9717,4015.9045,-3856.188,3698.6719,-3543.2495,3389.7976,-3238.221,3088.4119,-2940.2676,2793.6946,-2648.603,2504.894,-2362.4595,2221.243,-2081.1716,1942.1417,-1804.0846,1666.9316,-1530.6125,1395.0404,-1260.152,1125.8851,-992.14496,858.8955,-726.0594,593.5745,-461.37955,329.3953,-197.56592,65.84029
42361.355,-177010.66,764053.8,-1.1236631e6,577422.8,-105639.664,27736.617,-4131.6187,-4948.8843,8812.904,-10467.115,11086.298,-11190.585,11031.16,-10737.027,10377.361,-9990.33,9597.3,-9210.182,8835.48,-8476.541,8134.8184,-7810.672,7503.816,-7213.5923,6939.149,-6679.5566,6433.857,-6201.108,5980.4043,-5770.8965,5571.7856,-5382.316,5201.797,-5029.5977,4865.13,-4707.861,4557.2983,-4412.98,4274.4834,-4141.419,4013.4404,-3890.2305,3771.4749,-3656.889,3546.2314,-3439.2544,3335.7317,-3235.4736,3138.2842,-3043.9773,2952.4016,-2863.403,2776.8188,-2692.5298,2610.416,-2530.3438,2452.219,-2375.935,2301.391,-2228.496,2157.1638,-2087.3237,2018.8865,-1951.7832,1885.9493,-1821.3192,1757.8301,-1695.4137,1634.0302,-1573.6243,1514.1321,-1455.5212,1397.7458,-1340.753,1284.5052,-1228.9589,1174.0803,-1119.8317,1066.1764,-1013.08124,960.5146,-908.44135,856.8227,-805.639,754.8643,-704.46155,654.4063,-604.67426,555.24023,-506.07318,457.1506,-408.45035,359.93832,-311.60184,263.41324,-215.35033,167.39111,-119.50727,71.678825,-23.887547
-11906.466,43227.004,-114297.6,459223.62,-688354.5,369016.84,-75030.516,24768.758,-8770.748,2168.726,950.0461,-2532.6245,3357.708,-3779.872,3976.2043,-4041.4243,4028.9158,-3970.0024,3883.63,-3781.5376,3671.1226,-3557.085,3442.4287,-3329.061,3218.1716,-3110.478,3006.3887,-2906.1025,2809.68,-2717.0908,2628.2488,-2543.029,2461.2783,-2382.8367,2307.542,-2235.2285,2165.7383,-2098.9163,2034.61,-1972.6754,1912.9753,-1855.3864,1799.7927,-1746.0757,1694.1266,-1643.8533,1595.158,-1547.9507,1502.1565,-1457.6958,1414.4921,-1372.4838,1331.607,-1291.7932,1252.9928,-1215.1555,1178.2239,-1142.1583,1106.9133,-1072.4451,1038.7142,-1005.6837,973.32294,-941.5925,910.4625,-879.9046,849.88983,-820.3905,791.3762,-762.8296,734.726,-707.03674,679.74756,-652.83813,626.28436,-600.06964,574.17426,-548.5831,523.2792,-498.24588,473.46823,-448.93198,424.62106,-400.51785,376.61353,-352.8963,329.34924,-305.96124,282.7212,-259.61768,236.63644,-213.76723,190.99991,-168.3188,145.71823,-123.18545,100.71031,-78.282745,55.889713,-33.522087,11.171539
4345.054,-14766.373,32602.324,-77803.15,305572.97,-464618.88,255516.52,-54849.477,19883.576,-8469.38,3599.0857,-1194.0612,-102.240135,838.73425,-1268.8059,1521.0288,-1665.4532,1742.407,-1776.1359,1781.742,-1768.902,1743.9574,-1711.1451,1673.3358,-1632.4948,1589.9779,-1546.7264,1503.3916,-1460.4227,1418.1259,-1376.7068,1336.2975,-1296.975,1258.781,-1221.7319,1185.8234,-1151.0398,1117.3555,-1084.7361,1053.1443,-1022.54,992.885,-964.14136,936.2657,-909.217,882.9609,-857.4577,832.6702,-808.56793,785.11646,-762.2821,740.03815,-718.35596,697.2034,-676.5585,656.3979,-636.6942,617.4292,-598.58093,580.12836,-562.05255,544.33527,-526.962,509.9129,-493.17334,476.7293,-460.5664,444.6707,-429.02667,413.62585,-398.45578,383.50162,-368.75635,354.2096,-339.8489,325.66577,-311.65,297.7939,-284.08865,270.52563,-257.0971,243.79561,-230.61284,217.53944,-204.57092,191.70119,-178.92123,166.22527,-153.60748,141.06187,-128.5809,116.15917,-103.79137,91.46914,-79.18955,66.945854,-54.73269,42.544724,-30.375027,18.218777,-6.071596
-1882.87,6168.8667,-12451.585,24372.508,-55945.508,217908.48,-334911.6,187360.27,-41557.883,15848.43,-7328.048,3622.1655,-1747.3818,705.45795,-89.67954,-289.17807,527.99756,-680.10297,776.54535,-836.24146,871.1465,-889.0464,895.143,-892.9852,885.0363,-873.0321,858.2118,-841.46783,823.4485,-804.62726,785.352,-765.87775,746.3897,-727.0241,707.8802,-689.02783,670.5172,-652.3818,634.6414,-617.3077,600.3847,-583.8735,567.77136,-552.06964,536.75836,-521.8294,507.27,-493.06708,479.21048,-465.6867,452.48166,-439.58475,426.98358,-414.66312,402.61368,-390.8247,379.2826,-367.97897,356.903,-346.04416,335.39282,-324.9398,314.67773,-304.5962,294.68756,-284.9445,275.3593,-265.9246,256.63184,-247.47667,238.4523,-229.55045,220.76744,-212.09756,203.53384,-195.07158,186.70505,-178.43004,170.24152,-162.1347,154.1052,-146.14882,138.26079,-130.43576,122.67126,-114.9638,107.308174,-99.7011,92.13926,-84.61921,77.13655,-69.68822,62.27114,-54.880447,47.514496,-40.169357,32.841934,-25.529142,18.226933,-10.932523,3.6433945
921.69714,-2952.6858,5658.333,-10008.078,18655.664,-42057.832,163344.6,-253153.47,143369.55,-32500.906,12792.385,-6195.3643,3290.573,-1798.8171,954.43036,-444.0595,121.183784,89.64027,-230.19989,325.0018,-389.09308,432.06577,-460.2288,477.8418,-487.84506,492.30713,-492.70795,490.12057,-485.3327,478.92856,-471.34564,462.91345,-453.88074,444.4374,-434.7291,424.86655,-414.9354,405.0008,-395.1115,385.30475,-375.608,366.04266,-356.62457,347.36295,-338.26404,329.3334,-320.572,311.97952,-303.5562,295.2994,-287.20523,279.27142,-271.494,263.8667,-256.38644,249.04915,-241.84846,234.78111,-227.84206,221.02618,-214.32884,207.74544,-201.27249,194.90437,-188.63713,182.46696,-176.38972,170.40135,-164.49704,158.67458,-152.93013,147.25887,-141.65887,136.1269,-130.65883,125.25197,-119.90298,114.60943,-109.36837,104.17694,-99.03257,93.93277,-88.87467,83.85501,-78.872375,73.924675,-69.00872,64.122536,-59.264114,54.43137,-49.6216,44.832935,-40.063507,35.31029,-30.572329,25.847183,-21.13296,16.427761,-11.729073,7.0351887,-2.3445752
-494.23132,1560.0161,-2892.4487,4817.8413,-8060.072,14663.7,-32753.863,127138.84,-198354.0,113377.12,-26102.885,10497.299,-5236.8125,2900.8125,-1688.924,994.60614,-568.85596,294.83798,-112.16122,-12.7663555,99.737816,-160.96942,204.29341,-234.89325,256.29242,-270.9415,280.57916,-286.45987,289.50235,-290.38837,289.62976,-287.61444,284.6383,-280.92966,276.66586,-271.9847,266.99478,-261.78122,256.4106,-250.93567,245.39793,-239.83093,234.26126,-228.70868,223.1888,-217.71503,212.29631,-206.93951,201.65092,-196.43399,191.2907,-186.22348,181.23311,-176.31845,171.48007,-166.71751,162.02863,-157.413,152.86884,-148.39418,143.98714,-139.6458,135.3688,-131.15327,126.9974,-122.89933,118.85696,-114.86813,110.93017,-107.04206,103.201675,-99.40616,95.6546,-91.94514,88.27529,-84.64355,81.047905,-77.48695,73.95893,-70.462105,66.994934,-63.555897,60.143223,-56.75486,53.38998,-50.047318,46.72483,-43.42129,40.13546,-36.866024,33.611248,-30.369965,27.140997,-23.922379,20.713543,-17.51292,14.319301,-11.131476,7.9478135,-4.7672305,1.5887581
284.44882,-888.6616,1611.2063,-2581.2341,4046.587,-6578.042,11806.777,-26241.316,101910.82,-159857.0,92034.555,-21435.273,8754.988,-4458.2734,2538.4453,-1535.1921,955.4892,-596.4666,362.69272,-204.70506,94.907135,-16.983511,-39.1719,80.06423,-110.01716,131.98361,-148.02803,159.62282,-167.83685,173.45801,-177.07516,179.13347,-179.97276,179.85538,-178.9856,177.52321,-175.59468,173.30019,-170.71927,167.91574,-164.9408,161.83615,-158.63571,155.36603,-152.04883,148.70256,-145.3412,141.97617,-138.61751,135.2725,-131.94675,128.64558,-125.37271,122.13013,-118.920616,115.746,-112.60662,109.50385,-106.4379,103.40866,-100.415985,97.459526,-94.539276,91.65402,-88.80322,85.986244,-83.2022,80.45011,-77.72859,75.03736,-72.37531,69.74082,-67.13356,64.55252,-61.99624,59.463905,-56.954334,54.46675,-52.000107,49.553364,-47.12559,44.71589,-42.323143,39.94604,-37.584126,35.236614,-32.90218,30.58006,-28.269472,25.96958,-23.679253,21.397741,-19.124294,16.8576,-14.597329,12.342443,-10.092155,7.845678,-5.6019216,3.3601856,-1.1198472
